"G36144" "G36291" "G64946" "G65809" "G66142" "G66147" "G66652" "G68204" "G68397" "G68498" "G72911" "G73845"
"OTU1" 64 6 12061 6 2691 1 18 15733 3330 3884 5712 1855
"OTU10" 1 0 1 99 1 1 0 1 13 0 1872 29
"OTU100" 0 0 0 0 0 792 0 0 0 0 0 0
"OTU1004" 0 0 0 0 0 0 0 0 2 0 0 0
"OTU1007" 0 0 0 0 0 0 14 0 0 0 0 0
"OTU101" 0 0 0 0 0 115 363 0 0 0 0 0
"OTU1017" 0 0 0 0 0 0 0 14 0 0 0 0
"OTU102" 35 2 171 0 0 0 0 0 20 3 0 0
"OTU103" 0 223 1 0 128 1050 9 0 0 17 0 0
"OTU1039" 0 0 0 0 0 223 0 0 0 36 0 0
"OTU104" 0 0 0 0 0 505 0 0 0 0 0 0
"OTU1040" 0 1 3 0 0 0 0 0 0 3 0 0
"OTU105" 0 0 0 0 3 0 0 0 0 3 0 0
"OTU1052" 0 0 0 0 0 20 0 0 0 0 0 0
"OTU1056" 0 0 0 0 0 0 0 0 0 19 0 0
"OTU106" 0 74 907 0 0 0 0 0 0 28 0 0
"OTU107" 0 43 0 0 0 0 0 0 0 0 0 0
"OTU1071" 0 4362 1 0 1361 0 0 0 0 0 0 0
"OTU1073" 0 0 0 0 2 0 0 0 0 0 0 0
"OTU1079" 0 0 0 0 1 6 1 99 1 2 0 0
"OTU108" 0 35 0 0 0 2 26 0 0 803 0 0
"OTU1087" 0 31 0 0 0 0 0 0 0 10 0 0
"OTU109" 0 0 0 0 0 54 0 0 0 35 0 0
"OTU11" 1 3132 4 0 40337 0 0 0 0 0 0 0
"OTU110" 23 0 0 0 0 0 0 0 0 0 0 0
"OTU1102" 0 0 0 0 0 5 0 0 0 0 2 0
"OTU1106" 0 21 1 11 0 707 11 0 0 102 0 0
"OTU111" 0 0 0 0 0 0 0 0 0 6 0 0
"OTU1117" 0 0 5 0 0 0 0 0 0 4 0 0
"OTU112" 0 1 0 3 0 0 16 0 0 1 0 0
"OTU1120" 0 0 0 0 0 0 0 0 0 7 0 0
"OTU113" 0 8 1 0 0 5 0 0 2 6 0 1
"OTU1134" 0 0 0 0 387 0 0 0 0 0 0 0
"OTU1139" 0 0 0 0 1 0 0 0 0 1 0 0
"OTU114" 0 0 0 0 0 0 12 0 0 3 28 0
"OTU1144" 0 21 0 0 0 0 0 0 0 0 0 0
"OTU1146" 0 0 0 0 0 0 0 0 1 0 0 0
"OTU115" 0 17 0 0 0 0 0 0 5 20 0 0
"OTU1150" 0 0 0 0 0 0 2 0 0 0 0 0
"OTU1155" 0 72 0 0 0 0 0 0 0 29 0 0
"OTU117" 0 6 0 0 0 0 0 0 0 0 0 0
"OTU1188" 0 0 1 0 0 0 0 0 0 0 0 0
"OTU119" 0 1 0 0 0 0 6 53 0 99 0 0
"OTU1193" 0 0 0 0 0 0 0 0 0 447 0 0
"OTU12" 0 187 5 171 6176 0 13 0 0 142 0 0
"OTU120" 0 129 370 0 19 0 0 0 0 0 0 0
"OTU1201" 0 0 0 0 0 0 0 0 2 0 0 0
"OTU1206" 0 3 0 0 0 0 0 0 0 0 0 0
"OTU121" 0 0 0 0 32 0 0 0 0 0 0 0
"OTU1211" 0 37 0 0 0 0 0 0 0 37 0 0
"OTU1212" 0 2 0 0 0 0 0 0 0 0 0 0
"OTU122" 0 83 0 0 2 0 0 0 0 0 0 0
"OTU1220" 0 0 0 0 53 0 0 0 0 4226 0 0
"OTU123" 0 0 10080 0 0 0 0 0 0 0 0 0
"OTU1239" 3 0 7 0 1 75 1 0 9 48 0 0
"OTU124" 0 0 0 0 0 0 7 0 0 0 0 187
"OTU1240" 3 71 12 46 410 588 17 0 56 42 0 13
"OTU1253" 0 0 0 0 4 0 0 0 0 0 0 0
"OTU1256" 0 0 0 0 0 0 0 0 0 6 0 0
"OTU1257" 0 0 0 1 0 0 0 0 0 0 0 0
"OTU1260" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU1264" 0 6 0 0 0 0 0 0 0 0 0 0
"OTU1266" 0 3 0 0 0 0 0 0 0 0 0 0
"OTU1267" 0 0 2 0 0 0 0 0 0 0 0 0
"OTU127" 476 2 273 861 1595 1288 751 0 187 66 0 1285
"OTU1276" 0 0 2 0 0 0 0 0 0 0 0 0
"OTU1277" 0 16 0 0 0 0 0 0 0 0 0 0
"OTU128" 38 14 5 1 1 0 0 0 0 295 0 1
"OTU1281" 0 0 0 0 0 0 0 0 0 2 0 0
"OTU13" 0 0 0 0 25 0 0 0 0 5514 2078 0
"OTU1300" 0 7 0 0 0 0 0 0 0 20 0 0
"OTU131" 8 0 0 2 59 11 0 0 8 14 0 0
"OTU1325" 1 1 500 3 0 0 0 0 0 67 0 6
"OTU1347" 0 17 0 0 0 0 0 0 0 3 0 0
"OTU1355" 0 0 0 0 4 0 0 0 0 5 0 0
"OTU136" 0 9 0 0 5 510 0 0 0 0 0 0
"OTU1366" 0 0 0 0 1 0 0 0 0 0 0 0
"OTU138" 0 262 0 1 0 0 0 0 0 1057 0 0
"OTU1385" 43 0 0 0 0 2 13 0 7 0 0 399
"OTU1388" 4 0 0 0 0 0 0 0 0 0 0 0
"OTU1389" 0 0 0 0 15 0 0 0 0 0 0 0
"OTU139" 0 149 0 0 0 0 0 0 0 12 0 0
"OTU1394" 0 0 13 0 0 0 0 0 0 37 0 0
"OTU14" 34 2 856 303 8 0 36 4 0 366 0 0
"OTU1401" 3 1 9 0 3 63 0 0 12 74 0 0
"OTU141" 0 0 0 2 0 0 0 0 0 363 0 0
"OTU1411" 2 0 0 0 0 0 0 0 0 0 0 0
"OTU1421" 0 0 0 0 4 5 0 0 0 0 0 0
"OTU143" 0 0 76 0 0 0 0 0 0 0 0 0
"OTU1432" 0 0 0 0 0 0 0 1 0 0 0 0
"OTU1433" 0 0 0 0 1 0 0 0 0 0 0 0
"OTU144" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU1442" 0 0 0 0 0 0 0 0 0 0 1 0
"OTU1449" 0 0 9 0 0 0 0 0 0 17 0 0
"OTU145" 0 307 0 0 0 0 0 0 0 0 0 0
"OTU1457" 0 0 0 0 0 0 0 1 0 0 0 0
"OTU1458" 0 0 0 1 7 4 0 0 0 0 0 2
"OTU146" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU147" 0 0 1 0 0 0 0 0 0 0 0 2
"OTU1472" 0 0 0 0 0 1 0 1 0 0 0 0
"OTU1473" 0 0 0 0 0 2 0 0 0 0 0 0
"OTU1482" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU1486" 0 0 0 0 0 0 0 4 0 0 0 0
"OTU149" 0 0 0 1 0 340 0 0 0 0 0 0
"OTU15" 36 5 114 1 35 0 0 2 3 11 0 1
"OTU1508" 0 0 8 0 78 0 0 0 0 0 0 0
"OTU1514" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU152" 0 0 70 0 0 0 0 0 0 1 0 0
"OTU1526" 0 0 4 0 0 4 0 0 0 0 0 0
"OTU1530" 0 0 0 0 2 0 0 0 0 0 0 0
"OTU1532" 0 0 0 0 0 0 0 0 0 2 0 0
"OTU1534" 0 12 0 0 0 0 0 0 0 0 0 0
"OTU1536" 0 0 0 0 79 0 0 0 0 0 0 0
"OTU1537" 0 0 3 0 0 0 0 0 0 0 0 0
"OTU154" 0 0 0 0 0 0 0 0 0 0 0 1
"OTU1557" 0 0 0 0 1 0 0 0 0 0 0 0
"OTU1560" 0 0 0 0 0 1 0 1 0 0 0 0
"OTU1564" 0 0 0 0 0 0 2 0 0 0 0 6
"OTU157" 0 11 0 0 0 14 0 0 0 0 10 0
"OTU1578" 8 6700 1419 8 1807 4351 37 5 932 0 0 501
"OTU1579" 0 1 0 0 4 13 0 0 7 0 0 0
"OTU158" 0 0 0 1 0 0 0 0 4 0 0 5
"OTU1584" 0 0 0 0 0 0 0 0 0 1 2 0
"OTU1586" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU1588" 0 56 37 0 6 68 0 0 14 0 0 1
