"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU1432" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pasteurellales" "Pasteurellaceae" "Haemophilus" "Unassigned"
"OTU1457" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnospiracea_incertae_sedis" "Unassigned"
"OTU1139" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU1117" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU1458" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU2370" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1595" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2468" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU1578" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU1325" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU755" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2079" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1256" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Sutterellaceae" "Parasutterella" "Unassigned"
"OTU2188" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2175" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2159" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2227" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2234" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2470" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2093" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Eubacteriaceae" "Eubacterium" "Unassigned"
"OTU2130" "Bacteria" "Firmicutes" "Clostridia" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU2397" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Unassigned" "Unassigned"
"OTU2333" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU2322" "Bacteria" "Firmicutes" "Clostridia" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU2240" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2251" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2278" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU2321" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2299" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU1782" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonella" "Unassigned"
"OTU1801" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU1764" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" "Unassigned"
"OTU1839" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Phyllobacteriaceae" "Unassigned" "Unassigned"
"OTU2034" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVa" "Unassigned"
"OTU1976" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU2047" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU1963" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "Unassigned"
"OTU1934" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU2490" "Bacteria" "Firmicutes" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
